example,yor
merkuro-contact,libsForQt5.merkuro
merkuro-calendar,kdePackages.merkuro
replace,mariadb
hex2,mescc-tools
get_machine,mescc-tools
blood-elf,mescc-tools
M2-Planet,m2-planet
M2-Mesoplanet,m2-mesoplanet
M1,mescc-tools
hg,mercurial
kaem,minimal-bootstrap.kaem
meme,meme-image-generator
MediaElch,mediaelch
summarize,measureme
flamegraph,cargo-flamegraph
crontab,cron
zeroize,mbedtls
udp_proxy,mbedtls
strerror,mbedtls
ssl_server2,mbedtls_2
ssl_server,mbedtls
ssl_pthread_server,mbedtls
ssl_mail_client,mbedtls
ssl_fork_server,mbedtls
ssl_context_info,mbedtls
ssl_client2,mbedtls
ssl_client1,mbedtls
selftest,mbedtls
rsa_verify_pss,mbedtls
rsa_verify,mbedtls
rsa_sign_pss,mbedtls
rsa_sign,mbedtls
rsa_genkey,mbedtls
rsa_encrypt,mbedtls
rsa_decrypt,mbedtls
req_app,mbedtls
query_compile_time_config,mbedtls
psa_constant_names,mbedtls
pk_verify,mbedtls
pk_sign,mbedtls
pk_encrypt,mbedtls
pk_decrypt,mbedtls
pem2der,mbedtls
mpi_demo,mbedtls
mini_client,mbedtls
metatest,mbedtls
load_roots,mbedtls
key_ladder_demo,mbedtls
key_app_writer,mbedtls
key_app,mbedtls
generic_sum,mbedtls
gen_random_ctr_drbg,mbedtls
gen_key,mbedtls
gen_entropy,mbedtls
ecdsa,mbedtls
ecdh_curve25519,mbedtls
dtls_server,mbedtls
dtls_client,mbedtls
dh_server,mbedtls
dh_genprime,mbedtls
dh_client,mbedtls
crypto_examples,mbedtls
crypt_and_hash,mbedtls
crl_app,mbedtls
cert_write,mbedtls
cert_req,mbedtls
cert_app,mbedtls
mboximporter,libsForQt5.mbox-importer
xmaxima,maxima
rmaxima,maxima
update_synapse_database,matrix-synapse
synctl,matrix-synapse
synapse_worker,matrix-synapse
synapse_review_recent_signups,matrix-synapse
synapse_port_db,matrix-synapse
synapse_homeserver,matrix-synapse
register_new_matrix_user,matrix-synapse
hash_password,matrix-synapse
generate_signing_key,matrix-synapse
generate_log_config,matrix-synapse
generate_config,matrix-synapse
export_signing_key,matrix-synapse
matomo-console,matomo
mate-system-log,mate.mate-utils
mate-search-tool,mate.mate-utils
mate-screenshot,mate.mate-utils
mate-panel-screenshot,mate.mate-utils
mate-disk-usage-analyzer,mate.mate-utils
mate-disk-image-mounter,mate.mate-utils
mate-dictionary,mate.mate-utils
mate-panel-test-applets,mate.mate-panel
mate-panel,mate.mate-panel
mate-desktop-item-edit,mate.mate-panel
mate-maximus,mate.mate-panel-with-applets
mate-power-statistics,mate.mate-power-manager
mate-power-preferences,mate.mate-power-manager
mate-power-manager,mate.mate-power-manager
mate-power-backlight-helper,mate.mate-power-manager
mate-notification-properties,mate.mate-notification-daemon
mate-volume-control-status-icon,mate.mate-panel-with-applets
mate-volume-control,mate.mate-media
bundle-audit,bundler-audit
annotate,gd
wsrep_sst_rsync_wan,mariadb
wsrep_sst_rsync,mariadb
wsrep_sst_mysqldump,mariadb
wsrep_sst_mariabackup,mariadb
wsrep_sst_common,mariadb
wsrep_sst_backup,mariadb
resolveip,mariadb
resolve_stack_dump,mariadb
mytop,mariadb
mysqlhotcopy,mariadb
mysqld_safe_helper,mariadb
mysqlaccess,mariadb
mysql_waitpid,mariadb
mysql_setpermission,mariadb
mysql_plugin,mariadb
mysql_ldb,mariadb
mysql_install_db,mariadb
mysql_fix_extensions,mariadb
mysql_find_rows,mariadb
mysql_convert_table_format,mariadb
myrocks_hotbackup,mariadb
msql2mysql,mariadb
mbstream,mariadb
mariadbd-safe-helper,mariadb
mariadbd-safe,mariadb
mariadbd-multi,mariadb
mariadbd,mariadb
mariadb-waitpid,mariadb
mariadb-upgrade,mariadb
mariadb-tzinfo-to-sql,mariadb
mariadb-slap,mariadb
mariadb-show,mariadb
mariadb-setpermission,mariadb
mariadb-service-convert,mariadb
mariadb-secure-installation,mariadb
mariadb-plugin,mariadb
mariadb-ldb,mariadb
mariadb-install-db,mariadb
mariadb-import,mariadb
mariadb-hotcopy,mariadb
mariadb-fix-extensions,mariadb
mariadb-find-rows,mariadb
mariadb-dumpslow,mariadb
mariadb-dump,mariadb
mariadb-convert-table-format,mariadb
mariadb-conv,mariadb
mariadb-check,mariadb
mariadb-binlog,mariadb
mariadb-backup,mariadb
mariadb-admin,mariadb
mariadb-access,mariadb
mariabackup,mariadb
galera_recovery,mariadb
galera_new_cluster,mariadb
aria_s3_copy,aria_s3_copy
aria_read_log,aria_read_log
aria_pack,mariadb
aria_ftdump,aria2
aria_dump_log,mariadb
aria_chk,mariadb
mariadb_config,mariadb-embedded
mate-cpufreq-selector,mate.mate-applets
indexer,manticoresearch
whatis,man
soelim,groff
apropos,man
reformime,maildrop
makemime,maildrop
lxi,lxi-tools
lxd-user,lxd-lts
lxd-migrate,lxd-unwrapped-lts
lxd-metadata,lxd-unwrapped-lts
lxd-benchmark,lxd-unwrapped-lts
lxd-agent,lxd-unwrapped-lts
lxd,lxd-unwrapped-lts
lxc-to-lxd,lxd-unwrapped-lts
lxc,lxd-unwrapped-lts
fuidshift,incus
vgsplit,lvm2
vgscan,lvm2
vgs,lvm2
vgrename,lvm2
vgremove,lvm2
vgreduce,lvm2
vgmknodes,lvm2
vgmerge,lvm2
vgimportdevices,lvm2
vgimportclone,lvm2
vgimport,lvm2
vgextend,lvm2
vgexport,lvm2
vgdisplay,lvm2
vgcreate,lvm2
vgconvert,lvm2
vgck,lvm2
vgchange,lvm2
vgcfgrestore,lvm2
vgcfgbackup,lvm2
pvscan,lvm2
pvs,lvm2
pvresize,lvm2
pvremove,lvm2
pvmove,lvm2
pvdisplay,lvm2
pvcreate,lvm2
pvck,lvm2
pvchange,lvm2
lvscan,lvm2
lvs,lvm2
lvresize,lvm2
lvrename,lvm2
lvremove,lvm2
lvreduce,lvm2
lvmsar,lvm2
lvmsadc,lvm2
lvmdump,lvm2
lvmdiskscan,lvm2
lvmdevices,lvm2
lvmconfig,lvm2
lvm_import_vdo,lvm2_vdo
lvm,lvm2
lvextend,lvm2
lvdisplay,lvm2
lvcreate,lvm2
lvconvert,lvm2
lvchange,lvm2
fsadm,lvm2
dmstats,lvm2_dmeventd
dmsetup,lvm2
dmeventd,lvm2_dmeventd
blkdeactivate,lvm2
libSkiaSharp.so,lumafly
libHarfBuzzSharp.so,lumafly
luarocks-admin,lua53Packages.luarocks-nix
luarocks,lua54Packages.luarocks-nix
vusted.bat,lua54Packages.vusted
vusted,lua54Packages.vusted
tl,lua54Packages.tl
teal-language-server,lua54Packages.teal-language-server
nlua,lua51Packages.nlua
moonc,lua54Packages.moonscript
rep.lua,lua54Packages.luarepl
lua2json,lua54Packages.cjson
json2lua,lua51Packages.cjson
luacov,lua54Packages.luacov
luacheck,lua54Packages.luacheck
ldoc,lua53Packages.ldoc
fennel,lua54Packages.fennel
lua-lsp,lua-lsp
busted,lua54Packages.busted
cyan,lua54Packages.cyan
luac,lua
lttng,lttng-tools
lttng-gen-tp,lttng-ust
lomiri-system-settings,lomiri.lomiri-system-settings
logid,logiops
windres,binutils-unwrapped-all-targets
ld.lld,lld
dwp,binutils
dlltool,llvmPackages.bintools
wasm-ld,llvmPackages.bintools-unwrapped
llvm-debuginfod,libllvm
lld-link,llvmPackages.bintools-unwrapped
ld64.lld,lld
debuginfod-find,elfutils
debuginfod,elfutils
ld64.lld.darwinnew,lld_13
mount.fuse.lklfuse,lkl
lklfuse,lkl
fs2tar,lkl
cptofs,lkl
cpfromfs,lkl
xmode2,lirc
pronto2lirc,lirc
mode2,lirc
lircrcd,lirc
lircmd,lirc
lircd-uinput,lirc
lircd-setup,lirc
lircd,lirc
lirc-setup,lirc
lirc-postinstall,lirc
lirc-make-devinput,lirc
lirc-lsremotes,lirc
lirc-lsplugins,lirc
lirc-init-db,lirc
lirc-data2table,lirc
lirc-config-tool,lirc
irxevent,lirc
irw,lirc
irtext2udp,lirc
irtestcase,lirc
irsimsend,lirc
irsimreceive,lirc
irsend,lirc
irrecord,lirc
irpty,lirc
irpipe,lirc
irexec,lirc
irdb-get,python312Packages.lirc
ircat,lirc
lnxrouter,linux-router
musicxml2ly,lilypond
midi2ly,lilypond
lilysong,lilypond
lilypond-invoke-editor,lilypond
lilypond-book,lilypond
lilymidi,lilypond
etf2ly,lilypond
convert-ly,lilypond-unstable
abc2ly,lilypond
podman.lima,lima
nerdctl.lima,lima
limactl,lima
kubectl.lima,lima
docker.lima,lima
apptainer.lima,lima
lightly-settings5,lightly-qt
dm-tool,lightdm
dbverify,atheme
license,license-go
pe_reader.py,python312Packages.lief
macho_reader.py,python312Packages.lief
elf_reader.py,python312Packages.lief
xsltproc,libxslt
xslt-config,libxslt
xmllint,libxml2
xmlcatalog,libxml2
xml2-config,libxml2
wpd2text,libwpd
wpd2raw,libwpd
wpd2html,libwpd
libwacom-update-db,libwacom
libwacom-show-stylus,libwacom
libwacom-list-local-devices,libwacom
libwacom-list-devices,libwacom
vpxenc,libvpx
vpxdec,libvpx
wnckprop,libwnck
wnck-urgency-monitor,libwnck
libtoolize,libtool
jshn,libubox
tiffsplit,libtiff
tiffset,libtiff
tiffinfo,libtiff
tiffdump,libtiff
tiffcp,libtiff
searpc-codegen.py,python312Packages.pysearpc
ocspcheck,netcat
unopkg,libreoffice
swriter,libreoffice
soffice,libreoffice
smath,libreoffice
simpress,libreoffice
sdraw,libreoffice
scalc,libreoffice
sbase,libreoffice
dxfwrite,python312Packages.libredwg
dxf2dwg,libredwg
dwgwrite,libredwg
dwgrewrite,libredwg
dwgread,libredwg
dwglayers,libredwg
dwggrep,libredwg
dwgfilter,libredwg
dwgbmp,libredwg
dwgadd,libredwg
dwg2dxf,libredwg
dwg2SVG,libredwg
rs-terminal,librealsense
rs-save-to-disk,librealsense
rs-record,librealsense
rs-hello-realsense,librealsense
rs-fw-update,librealsense
rs-fw-logger,librealsense
rs-enumerate-devices,python312Packages.pyrealsense2
rs-embed,librealsense
rs-distance,librealsense
rs-depth,librealsense
rs-convert,librealsense
rs-color,librealsense
window,brlcad
pwscore,libpwquality
pwmake,libpwquality
libpng-config,libpng
nbdsh,python312Packages.libnbd
nbdinfo,libnbd
nbdfuse,libnbd
nbddump,libnbd
nbdcopy,libnbd
modulemd-validator,libmodulemd
kscreen-doctor,libsForQt5.libkscreen
krb5-config,libkrb5
krb5-send-pr,krb5
iiod,libiio
iio_writedev,libiio
iio_stresstest,libiio
iio_reg,libiio
iio_readdev,libiio
iio_info,libiio
iio_genxml,libiio
iio_attr,libiio
iio_adi_xflow_check,libiio
gpiomon,libgpiod
GDSIIConvert,libGDSII
gcov-tool,libgcc
gcov-dump,libgcc
gcov,libgcc
gcc-ranlib,libgcc
gcc-nm,libgcc
gcc-ar,libgcc
cpp,gcc
aarch64-unknown-linux-gnu-gcc-ranlib,libgcc
aarch64-unknown-linux-gnu-gcc-nm,libgcc
aarch64-unknown-linux-gnu-gcc-ar,libgcc
aarch64-unknown-linux-gnu-gcc-13.2.0,libgcc
aarch64-unknown-linux-gnu-gcc,libgcc
libfive-studio,python312Packages.libfive
Studio,ao
ewfverify,libewf
ewfrecover,libewf
ewfmount,libewf
ewfinfo,libewf
ewfexport,libewf
ewfdebug,libewf
ewfacquirestream,libewf
ewfacquire,libewf
extract,libextractor
ilur,libdevil
prepare_builtins,llvmPackages.libclc
canberra-gtk-play,libcanberra-gtk3
lhapdf-config,lhapdf
leanpkg,lean
leanchecker,lean
texpire,leafnode
newsq,leafnode
leafnode-version,leafnode
fetchnews,leafnode
checkgroups,leafnode
applyfilter,leafnode
leanmake,elan
leanc,lean4
lake,elan
ldid2,ldid
lmp_serial,lammps
updatepofiles,lazarus
startlazarus,lazarus
lrstolfm,lazarus
lazres,lazarus
lazbuild,lazarus
lazarus-ide,lazarus
kwrited,libsForQt5.kwrited
kweather,kdePackages.kweather
kwalletmanager5,kdePackages.kwalletmanager
kwin_x11,libsForQt5.kwin
kwin_wayland_wrapper,libsForQt5.kwin
kwin_wayland,libsForQt5.kwin
kwallet-query,kdePackages.kwallet
fs-repo-migrations,kubo-migrator
ktx,kns
kturtle,kdePackages.kturtle
ktrip,libsForQt5.ktrip
ktupnptest,kdePackages.ktorrent
ktorrent,kdePackages.ktorrent
ktmagnetdownloader,libsForQt5.ktorrent
ktimer,libsForQt5.ktimer
kteatime,libsForQt5.kteatime
ksystemlog,libsForQt5.ksystemlog
ksystemstats,libsForQt5.ksystemstats
kstatsviewer,kdePackages.ksystemstats
ksudoku,libsForQt5.ksudoku
ksshaskpass,kdePackages.ksshaskpass
ksquares,libsForQt5.ksquares
kspaceduel,kdePackages.kspaceduel
kshisen,kdePackages.kshisen
kscreen-console,libsForQt5.kscreen
kruler,libsForQt5.kruler
krfb-virtualmonitor,kdePackages.krfb
krfb,kdePackages.krfb
krdc,libsForQt5.krdc
kreversi,libsForQt5.kreversi
krecorder,libsForQt5.krecorder
ktutil,krb5
kswitch,krb5
kpasswd,krb5
klist,krb5
kinit,krb5
kdestroy,krb5
kadmin,krb5
kpat,libsForQt5.kpat
korganizer,kdePackages.korganizer
kontact,kdePackages.kontact
konqueror,kdePackages.konqueror
kfmclient,kdePackages.konqueror
kcreatewebarchive,libsForQt5.konqueror
fsview,libsForQt5.konqueror
konversation,kdePackages.konversation
kongressac,libsForQt5.kongress
kongress,kdePackages.kongress
konquest,kdePackages.konquest
konsoleprofile,kdePackages.konsole
konsole,kdePackages.konsole
kolourpaint,libsForQt5.kolourpaint
kollision,kdePackages.kollision
kolf,kdePackages.kolf
kodi-wiiremote,kodi
kodi-standalone,kodi
kodi-send,kodi
kodi-ps3remote,kodi
kodi-TexturePacker,kodi
TexturePacker,kodi
koko,libsForQt5.koko
knights,kdePackages.knights
knetwalk,libsForQt5.knetwalk
knotes,kdePackages.knotes
akonadi_notes_agent,kdePackages.knotes
kmstest,kmsxx
kmsprint,kmsxx
kmsblank,kmsxx
fbtest,kmsxx
knavalbattle,kdePackages.knavalbattle
kmplot,libsForQt5.kmplot
kmousetool,libsForQt5.kmousetool
modprobe,kmod
depmod,kmod
ktnef,kdePackages.kmail
kmail-refresh-settings,kdePackages.kmail
kmail,kdePackages.kmail
akonadi_unifiedmailbox_agent,kdePackages.kmail
akonadi_sendlater_agent,kdePackages.kmail
akonadi_mailmerge_agent,kdePackages.kmail
akonadi_mailfilter_agent,kdePackages.kmail
akonadi_followupreminder_agent,kdePackages.kmail
akonadi_archivemail_agent,kdePackages.kmail
kmines,libsForQt5.kmines
kmenuedit,kdePackages.kmenuedit
accountwizard,kdePackages.kmail-account-wizard
kmahjongg,kdePackages.kmahjongg
kmag,kdePackages.kmag
klines,libsForQt5.klines
sh,bash
run-init,busybox
resume,busybox
klettres,kdePackages.klettres
kwatchgnupg,kdePackages.kleopatra
kleopatra,kdePackages.kleopatra
kinfocenter,libsForQt5.kinfocenter
killbots,libsForQt5.killbots
kigo,libsForQt5.kigo
pl_editor,python311Packages.kicad
pcbnew,python311Packages.kicad
pcb_calculator,python311Packages.kicad
kicad-cli,python311Packages.kicad
kicad,python311Packages.kicad
idfrect,python311Packages.kicad
idfcyl,python311Packages.kicad
idf2vrml,python311Packages.kicad
gerbview,kicad-small
eeschema,kicad-small
dxf2idf,python311Packages.kicad
bitmap2component,python311Packages.kicad
khelpcenter,libsForQt5.khelpcenter
kde-geo-uri-handler,kdePackages.kguiaddons
kgpg,kdePackages.kgpg
kget,libsForQt5.kget
kgeography,kdePackages.kgeography
kfind,libsForQt5.kfind
keysmith,ic-keysmith
keditbookmarks,kdePackages.keditbookmarks
kbookmarkmerger,kdePackages.keditbookmarks
kdialog_progress_helper,libsForQt5.kdialog
kdialog,libsForQt5.kdialog
kdiamond,libsForQt5.kdiamond
kwikdisk,libsForQt5.kdf
kdf,libsForQt5.kdf
gidmigrator,libsForQt5.kdepim-runtime
akonadi_vcarddir_resource,kdePackages.kdepim-runtime
akonadi_vcard_resource,kdePackages.kdepim-runtime
akonadi_tomboynotes_resource,kdePackages.kdepim-runtime
akonadi_pop3_resource,kdePackages.kdepim-runtime
akonadi_openxchange_resource,kdePackages.kdepim-runtime
akonadi_notes_resource,kdePackages.kdepim-runtime
akonadi_newmailnotifier_agent,kdePackages.kdepim-runtime
akonadi_mixedmaildir_resource,kdePackages.kdepim-runtime
akonadi_migration_agent,kdePackages.kdepim-runtime
akonadi_mbox_resource,kdePackages.kdepim-runtime
akonadi_maildispatcher_agent,kdePackages.kdepim-runtime
akonadi_maildir_resource,kdePackages.kdepim-runtime
akonadi_imap_resource,kdePackages.kdepim-runtime
akonadi_icaldir_resource,kdePackages.kdepim-runtime
akonadi_ical_resource,kdePackages.kdepim-runtime
akonadi_google_resource,kdePackages.kdepim-runtime
akonadi_ewsmta_resource,kdePackages.kdepim-runtime
akonadi_ews_resource,kdePackages.kdepim-runtime
akonadi_davgroupware_resource,kdePackages.kdepim-runtime
akonadi_contacts_resource,kdePackages.kdepim-runtime
akonadi_birthdays_resource,kdePackages.kdepim-runtime
akonadi_akonotes_resource,kdePackages.kdepim-runtime
kdenlive_render,kdePackages.kdenlive
kdenlive,kdePackages.kdenlive
kdeconnect-sms,kdePackages.kdeconnect-kde
kdeconnect-settings,kdePackages.kdeconnect-kde
kdeconnect-indicator,kdePackages.kdeconnect-kde
kdeconnect-handler,kdePackages.kdeconnect-kde
kdeconnect-cli,kdePackages.kdeconnect-kde
kdeconnect-app,kdePackages.kdeconnect-kde
kdebugsettings,libsForQt5.kdebugsettings
kde-inotify-survey,kdePackages.kde-inotify-survey
plasma-open-settings,kdePackages.kde-cli-tools
ksvgtopng5,kdePackages.kde-cli-tools
ksvgtopng,kdePackages.kde-cli-tools
kstart5,kdePackages.kde-cli-tools
kstart,kde-cli-tools
kmimetypefinder5,kdePackages.kde-cli-tools
kmimetypefinder,kdePackages.kde-cli-tools
kioclient5,kdePackages.kde-cli-tools
kioclient,kdePackages.kde-cli-tools
kinfo,kdePackages.kde-cli-tools
keditfiletype5,kdePackages.kde-cli-tools
keditfiletype,kdePackages.kde-cli-tools
kdemv5,kdePackages.kde-cli-tools
kdemv,kde-cli-tools
kdecp5,kdePackages.kde-cli-tools
kdecp,kde-cli-tools
kde-open5,kdePackages.kde-cli-tools
kde-open,kdePackages.kde-cli-tools
kde-inhibit,kdePackages.kde-cli-tools
kbroadcastnotification,kdePackages.kde-cli-tools
kclockd,libsForQt5.kclock
kclock,libsForQt5.kclock
kcharselect,libsForQt5.kcharselect
kcolorchooser,kdePackages.kcolorchooser
kcachegrind,libsForQt5.kcachegrind
hotshot2calltree,kdePackages.kcachegrind
kcalc,kdePackages.kcalc
kbreakout,kdePackages.kbreakout
kblackbox,kdePackages.kblackbox
kbounce,kdePackages.kbounce
kblocks,kdePackages.kblocks
katomic,kdePackages.katomic
kwrite,libsForQt5.kate
kate,libsForQt5.kate
kasts,libsForQt5.kasts
showkey,kbd
setlogcons,busybox
setkeycodes,busybox
setfont,kbd
kbd_mode,kbd
fgconsole,busybox
kapptemplate,libsForQt5.kapptemplate
kapman,kdePackages.kapman
kalzium,kdePackages.kalzium
kalk,libsForQt5.kalk
kalgebramobile,kdePackages.kalgebra
kalgebra,kdePackages.kalgebra
kalarmautostart,kdePackages.kalarm
kalarm,kdePackages.kalarm
kak,kakoune
kaddressbook,kdePackages.kaddressbook
ctr,containerd
crictl,cri-tools
k3b,libsForQt5.k3b
rjoe,joe
jstar,joe
jpico,joe
jmacs,joe
juk,libsForQt5.juk
jsonnetfmt,jsonnet
jira,go-jira
jeprof,rust-jemalloc-sys
jemalloc-config,jemalloc
qt-faststart,ffmpeg-full
ffprobe,ffmpeg_7
ffplay,ffmpeg
jack_wait,jack1
jack_unload,jack1
jack_transport_client,jack1
jack_simple_client,jack1
jack_showtime,jack1
jack_server_control,jack1
jack_samplerate,jack1
jack_property,jack1
jack_netsource,jack1
jack_monitor_client,jack1
jack_midisine,jack1
jack_midiseq,jack1
jack_midi_dump,jack1
jack_metro,jack1
jack_lsp,jack1
jack_load_test,jack1
jack_load,jack1
jack_latent_client,jack1
jack_iodelay,jack1
jack_impulse_grabber,jack1
jack_freewheel,jack1
jack_evmon,jack1
jack_disconnect,jack1
jack_connect,jack1
jack_bufsize,jack1
jack_alias,jack1
jackd,jack1
iwmon,iwd
wps-push-button,eiwd
wps-pin,eiwd
wps-cancel,eiwd
wfd-source,eiwd
start-adhoc,eiwd
simple-agent,eiwd
signal-agent,eiwd
set-powered,iwd
set-mode,eiwd
scan-for-networks,iwd
monitor-iwd,iwd
monitor-ead,eiwd
list-known-networks,eiwd
list-devices,iwd
get-powered,iwd
get-diagnostics,eiwd
force-roam,iwd
disconnect-network,iwd
connect-p2p,eiwd
connect-network,iwd
itkTestDriver,itk
itinerary,libsForQt5.itinerary
xtables-legacy-multi,iptables
nfsynproxy,iptables
nfnl_osf,iptables
nfbpf_compile,iptables
iptables-xml,iptables
iptables-save,iptables
iptables-restore,iptables
iptables-legacy-save,iptables-legacy
iptables-legacy-restore,iptables-legacy
iptables-apply,iptables
ip6tables-save,iptables
ip6tables-restore,iptables
ip6tables-legacy-save,iptables-legacy
ip6tables-legacy-restore,iptables-legacy
ip6tables-legacy,iptables-legacy
ip6tables-apply,iptables
ip6tables,iptables
ebtables-save,ebtables
ebtables-restore,ebtables
tc,iproute2
ip,iproute2
bridge,iproute2
renderer_sp_rend2_aarch64.so,iortcw_sp
renderer_sp_opengl1_aarch64.so,iortcw_sp
iowolfsp.aarch64,iortcw_sp
inspircd-testssl,inspircd
inspircd-genssl,inspircd
inkview,inkscape
tls2jwt,incus
sysinfo,incus
lxd-to-incus,incus
lxc-to-incus,incus
incusd,incus
incus-user,incus
incus-simplestreams,incus
incus-migrate,incus
incus-benchmark,incus
incus-agent,incus
generate,evcc
dev_incus-client,incus
telnet,inetutils
telemetryd,telemetryd
influxd,influxdb
influx,influxdb
imlib2_view,imlib2
imlib2_test,imlib2
imlib2_show,imlib2
imlib2_poly,imlib2
imlib2_load,imlib2
imlib2_grab,imlib2
imlib2_conv,imlib2
imlib2_colorspace,imlib2
imlib2_bumpmap,imlib2
MagickWand-config,imagemagick
MagickCore-config,imagemagick
Magick++-config,imagemagick
stream,imagemagick
montage,imagemagick
mogrify,imagemagick
magick-script,imagemagick
magick,imagemagick
import,imagemagick
identify,imagemagick
display,imagemagick
convert,imagemagick
composite,imagemagick
compare,imagemagick
animate,imagemagick
ikiwiki-update-wikilist,ikiwiki
ikiwiki-transition,ikiwiki
ikiwiki-mass-rebuild,ikiwiki
ikiwiki-makerepo,ikiwiki
ikiwiki-comment,ikiwiki
ikiwiki-calendar,ikiwiki
uconv,icu
pkgdata,icu
makeconv,icu74
icupkg,icu74
icuinfo,icu74
icuexportdata,icu
icu-config,icu
gensprep,icu74
genrb,icu
gennorm2,icu74
gendict,icu74
gencnval,icu
gencmn,icu74
gencfu,icu74
genccode,icu
genbrk,icu74
escapesrc,icu
derb,icu
icon,icon-lang
check_nscp_api,icinga2
ibus-setup,ibus
ibus-daemon,ibus
gid,coreutils-prefixed
i3bar,i3
i3-with-shmlog,i3
i3-sensible-terminal,i3
i3-sensible-pager,i3
i3-sensible-editor,i3
i3-save-tree,i3
i3-nagbar,i3
i3-msg,i3
i3-migrate-config-to-v4,i3
i3-input,i3
i3-dump-log,i3
i3-dmenu-desktop,i3
i3-config-wizard,i3
lsvmbus,linuxKernel.packagesAliases.linux_latest.hyperv-daemons
hue,hue-cli
hostapd_cli,hostapd
hx,hex
HepMC3-config,hepmc3
h5watch,hdf5
h5unjam,hdf5
h5stat,hdf5
h5repart,hdf5
h5repack,hdf5
h5perf_serial,hdf5
h5mkgrp,hdf5
h5ls,hdf5
h5jam,hdf5
h5import,hdf5
h5format_convert,hdf5
h5dump,hdf5
h5diff,hdf5
h5debug,hdf5
h5copy,hdf5
h5clear,hdf5
h5hlcc,hdf5
h5cc,hdf5
mirror_server_stop,mirror_server_stop
mirror_server,mirror_server
h5delete,hdf5
h5hlc++,hdf5
h5c++,hdf5
shutdown_regionserver.rb,hbase
region_status.rb,hbase
region_mover.rb,hbase
hirb.rb,hbase
hbase_startup.jsh,hbase
hbase-jruby,hbase
get-active-master.rb,hbase
draining_servers.rb,hbase
haxelib,haxe
hb-subset,harfbuzz
hb-shape,harfbuzz
hb-ot-shape-closure,harfbuzz
hb-info,harfbuzz
rotctld,hamlib
rotctl,hamlib
rigswr,hamlib
rigsmtr,hamlib
rigmem,hamlib
rigctld,hamlib
rigctl,hamlib
gwenview_importer,kdePackages.gwenview
gwenview,kdePackages.gwenview
guile-tools,guile
guile-snarf,guile
guile-config,guile
guild,guile
google_metadata_script_runner,google-compute-engine
google_authorized_keys,google-guest-oslogin
gtk-update-icon-cache,gtk3
grumphp,php83Packages.grumphp
xplor2gmx.pl,gromacs
demux.pl,gromacs
GMXRC.zsh,gromacs
GMXRC.csh,gromacs
GMXRC.bash,gromacs
GMXRC,gromacs
grpc_node_plugin,grpc-tools
grub-syslinux2cfg,grub2
grub-sparc64-setup,grub2
grub-set-default,grub2
grub-script-check,grub2
grub-render-label,grub2
grub-reboot,grub2
grub-probe,grub2
grub-ofpathname,grub2
grub-mount,grub2
grub-mkstandalone,grub2
grub-mkrescue,grub2
grub-mkrelpath,grub2
grub-mkpasswd-pbkdf2,grub2
grub-mknetdir,grub2
grub-mklayout,grub2
grub-mkimage,grub2
grub-mkfont,grub2
grub-mkconfig,grub2
grub-menulst2cfg,grub2
grub-macbless,grub2
grub-kbdcomp,grub2
grub-install,grub2
grub-glue-efi,grub2_efi
grub-fstest,grub2
grub-file,grub2
grub-editenv,grub2
grub-bios-setup,grub2
gmx,gromacs
groestlcoin-wallet,groestlcoin
groestlcoin-util,groestlcoin
groestlcoin-tx,groestlcoin
groestlcoin-cli,groestlcoin
troff,groff
vimdot,graphviz
unflatten,graphviz
twopi,graphviz
tred,graphviz
sfdp,graphviz
sccmap,graphviz
prune,graphviz
patchwork,graphviz
osage,graphviz
nop,graphviz
neato,graphviz
mm2gv,graphviz
gxl2gv,graphviz-nox
gxl2dot,graphviz
gvpr,graphviz
gvpack,graphviz
gvmap,graphviz
gvgen,graphviz
gvcolor,graphviz
gv2gxl,graphviz
gv2gml,graphviz
graphml2gv,graphviz
gml2gv,graphviz
gc,graphviz
fdp,graphviz
edgepaint,graphviz
dot_builtins,graphviz
dot2gxl,graphviz
dot,graphviz
dijkstra,graphviz
diffimg,diffimg
cluster,graphviz
circo,graphviz-nox
ccomps,graphviz-nox
bcomps,graphviz
acyclic,graphviz
gm,graphicsmagick
GraphicsMagickWand-config,graphicsmagick
GraphicsMagick-config,graphicsmagick
GraphicsMagick++-config,graphicsmagick
granatier,libsForQt5.granatier
osmocom_siggen_nogui,gnuradioPackages.osmosdr
osmocom_fft,gnuradioPackages.osmosdr
mouse-test,gpm
mev,gpm
hltest,gpm
gpm-root,gpm
get-versions,gpm
display-coords,gpm
display-buttons,gpm
disable-paste,gpm
gpgme-tool,gpgme
gpgme-json,gpgme
gpgme-config,gpgme
gen,gen
google_set_multiqueue,google-guest-configs
google_optimize_local_ssd,google-guest-configs
libmonosgen-2.0.so,godot3-mono
g-ir-scanner,gobject-introspection
g-ir-inspect,gobject-introspection
g-ir-generate,gobject-introspection
g-ir-doc-tool,gobject-introspection
g-ir-compiler,gobject-introspection
g-ir-annotation-tool,gobject-introspection
ins2snd2,goattracker
schemas,go-jira
gsutil,google-cloud-sdk
gcloud,google-cloud-sdk
docker-credential-gcloud,google-cloud-sdk
bq,google-cloud-sdk
gofmt,go
uhd_siggen_gui,gnuradio
uhd_siggen,gnuradio
uhd_rx_nogui,gnuradio
uhd_rx_cfile,gnuradio
uhd_fft,gnuradio
polar_channel_construction,gnuradio
